"調査年月日","都道府県名","市区町村名","市町村コード","行政区コード","行政区名","0－4歳","5－9歳","10－14歳","15－19歳","20－24歳","25－29歳","30－34歳","35－39歳","40－44歳","45－49歳","50－54歳","55－59歳","60－64歳","65－69歳","70－74歳","75－79歳","80－84歳","85－89歳","90－94歳","95－99歳","100歳以上","計","世帯数"
"2019/04/01","京都府","舞鶴市","262021","305","北吸官舎","10","16","22","17","6","8","13","19","23","16","12","15","18","14","5","5","5","4","7","0","0","235","102"
"2019/04/01","京都府","舞鶴市","262021","306","東門東","2","4","10","8","8","7","5","4","12","16","13","5","6","11","13","12","11","1","5","1","0","154","71"
"2019/04/01","京都府","舞鶴市","262021","307","東門西","3","1","3","3","5","2","3","4","1","2","4","8","6","10","8","4","6","9","5","0","0","87","47"
"2019/04/01","京都府","舞鶴市","262021","308","三宅","13","8","8","16","20","12","10","18","24","20","18","32","26","56","58","40","47","27","11","2","0","466","270"
"2019/04/01","京都府","舞鶴市","262021","310","北吸海岸官舎","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","311","東山合同宿舎","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","312","ユニバーサル三宅寮","0","0","0","1","25","21","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","53"
"2019/04/01","京都府","舞鶴市","262021","313","関西電力寮東","0","0","0","1","9","15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","26","26"
"2019/04/01","京都府","舞鶴市","262021","401","白糸西","14","13","10","6","6","11","8","21","13","17","13","3","8","8","5","12","5","8","2","1","0","184","89"
"2019/04/01","京都府","舞鶴市","262021","402","白糸中","4","5","3","4","3","4","5","10","11","8","3","4","3","11","12","6","5","1","2","1","0","105","50"
"2019/04/01","京都府","舞鶴市","262021","403","白糸東","9","3","2","2","2","7","13","11","9","10","10","12","15","11","11","14","5","9","4","1","1","161","98"
"2019/04/01","京都府","舞鶴市","262021","404","白糸大門","0","0","0","0","0","0","1","0","1","7","3","2","2","7","8","6","2","3","3","0","0","45","33"
